GSE	GSM	SRX	SRR	Dataset
GSE138468	GSM4109488	SRX6954697	SRR10235458	1
GSE138468	GSM4109489	SRX6954698	SRR10235459	1
GSE138468	GSM5210257	SRX10439047	SRR14064442	1
GSE138468	GSM5210258	SRX10439048	SRR14064443	1
GSE138468	GSM5210259	SRX10439049	SRR14064444	1
GSE138468	GSM5210260	SRX10439050	SRR14064445	1
GSE138468	GSM5210261	SRX10439051	SRR14064446	1
GSE138468	GSM5210262	SRX10439052	SRR14064447	1
GSE138468	GSM5210263	SRX10439053	SRR14064448	1
GSE138468	GSM5210264	SRX10439054	SRR14064449	1
GSE138468	GSM5210265	SRX10439055	SRR14064450	1
GSE138468	GSM5210266	SRX10439056	SRR14064451	1
GSE138468	GSM5210267	SRX10439057	SRR14064452	1
GSE138468	GSM5210268	SRX10439058	SRR14064453	1
GSE138468	GSM5210269	SRX10439059	SRR14064454	1
GSE139285	GSM4136028	SRX7045971	SRR10335830	1
GSE139285	GSM4136030	SRX7045972	SRR10335831	1
GSE139285	GSM4136031	SRX7045973	SRR10335832	1
GSE139285	GSM4136032	SRX7045974	SRR10335833	1
GSE139285	GSM4136034	SRX7045975	SRR10335834	1
GSE139285	GSM4136035	SRX7045976	SRR10335835	1
GSE139285	GSM4136036	SRX7045977	SRR10335836	1
GSE139285	GSM4136038	SRX7045978	SRR10335837	1
GSE139285	GSM4136039	SRX7045979	SRR10335838	1
GSE139285	GSM4136040	SRX7045980	SRR10335839	1
GSE139285	GSM4136041	SRX7045981	SRR10335840	1
GSE139285	GSM4136043	SRX7045982	SRR10335841	1
GSE139285	GSM4136044	SRX7045983	SRR10335842	1
GSE139285	GSM4136045	SRX7045984	SRR10335843	1
GSE139285	GSM4136047	SRX7045985	SRR10335844	1
GSE139285	GSM4136048	SRX7045986	SRR10335845	1
GSE139285	GSM4136050	SRX7045987	SRR10335846	1
GSE139285	GSM4136051	SRX7045988	SRR10335847	1
GSE139285	GSM4136052	SRX7045989	SRR10335848	1
GSE139285	GSM4136054	SRX7045990	SRR10335849	1
GSE139285	GSM4136055	SRX7045991	SRR10335850	1
GSE139285	GSM4136056	SRX7045992	SRR10335851	1
GSE139285	GSM4136058	SRX7045993	SRR10335852	1
GSE139285	GSM4136059	SRX7045994	SRR10335853	1
GSE139285	GSM4136060	SRX7045995	SRR10335854	1
GSE139285	GSM4136062	SRX7045996	SRR10335855	1
GSE139285	GSM4136063	SRX7045997	SRR10335856	1
GSE139285	GSM4136064	SRX7045998	SRR10335857	1
GSE139285	GSM4136066	SRX7045999	SRR10335858	1
GSE139285	GSM4136067	SRX7046000	SRR10335859	1
GSE139285	GSM4136068	SRX7045969	SRR10335860	1
GSE139285	GSM4136070	SRX7045970	SRR10335861	1
GSE139285	GSM4136071	SRX7046001	SRR10335862	1
GSE139285	GSM4136072	SRX7046002	SRR10335863	1
GSE139285	GSM5745502	SRX13466100	SRR17288806	1
GSE139285	GSM5745503	SRX13466101	SRR17288807	1
GSE139285	GSM5745504	SRX13466102	SRR17288808	1
GSE139285	GSM5745505	SRX13466103	SRR17288809	1
GSE139285	GSM5745506	SRX13466104	SRR17288810	1
GSE139285	GSM5745507	SRX13466105	SRR17288811	1
GSE139285	GSM5745508	SRX13466106	SRR17288812	1
GSE139285	GSM5745509	SRX13466107	SRR17288813	1
GSE139285	GSM5745510	SRX13466108	SRR17288814	1
GSE144857	GSM4299665	SRX7687174	SRR11034917	1
GSE144857	GSM4299666	SRX7687175	SRR11034918	1
